stimulus_index,goal,human_mean,M1_b0.5,M2_b2.0_g0.25,M3_b2.5_k0.5,H_b2.5,targeted_black
1,A,0.56268,0.45891,0.46975,0.36669,0.56196,0
1,B,0.41056,0.54087,0.52912,0.49625,0.43575,0
1,C,0.02723,-1e-05,0.00075,0.13686,0.00202,0
2,A,0.90581,0.94528,0.99721,0.87154,0.99102,0
2,B,0.06413,0.05451,0.00206,0.06422,0.00614,0
2,C,0.03028,-1e-05,0.00057,0.06404,0.0024,0
3,A,0.54709,0.44754,0.46415,0.3665,0.55056,0
3,B,0.38948,0.52744,0.52744,0.4961,0.42698,0
3,C,0.06387,0.02482,0.0082,0.13723,0.022,0
4,A,0.85493,0.94079,0.99572,0.87154,0.98692,0
4,B,0.06674,0.05433,0.00206,0.06422,0.00614,0
4,C,0.07879,0.00467,0.00186,0.06404,0.00653,0
5,A,0.53076,0.38833,0.47516,0.36447,0.55112,0
5,B,0.39023,0.4576,0.50261,0.4931,0.42753,0
5,C,0.07928,0.15384,0.02203,0.14208,0.0209,0
6,A,0.93823,0.94359,0.99776,0.87154,0.99327,0
6,B,0.03622,0.0545,0.00186,0.06422,0.00614,0
6,C,0.02579,0.00147,0.0,0.06386,0.00035,0
7,A,0.29533,0.28061,0.26065,0.21845,0.32448,0
7,B,0.23498,0.33064,0.27296,0.29576,0.25166,0
7,C,0.47019,0.38851,0.46621,0.48544,0.42361,0
8,A,0.88144,0.67697,0.90085,0.82357,0.89188,0
8,B,0.02794,0.03901,0.00224,0.06068,0.00557,0
8,C,0.09114,0.28358,0.09672,0.11558,0.10229,0
9,A,0.92051,0.99286,0.99758,0.88667,0.99102,0
9,B,0.04996,0.00688,0.00168,0.05658,0.00614,0
9,C,0.02982,-4e-05,0.00057,0.05658,0.0024,0
10,A,0.87578,0.98689,0.99608,0.88648,0.98692,0
10,B,0.03597,0.0067,0.00186,0.05658,0.00614,0
10,C,0.08853,0.00613,0.00186,0.05658,0.00653,0
11,A,0.91316,0.99286,0.99794,0.88667,0.99327,0
11,B,0.05445,0.00688,0.00168,0.05658,0.00614,0
11,C,0.03267,-4e-05,0.0,0.05658,0.00035,0
12,A,0.86916,0.85172,0.91915,0.87678,0.89188,0
12,B,0.03195,0.00575,0.00206,0.05602,0.00557,0
12,C,0.09942,0.14206,0.07861,0.06684,0.10229,0
13,A,0.88431,0.91762,0.99477,0.81647,0.98095,0
