point_index,human_mean,M1_b0.5,M2_b0.5_g0.65,M3_b1.0_k0.95,H_b2.5
1,0.41813,0.76962,0.3947,0.47871,0.37119
2,0.47847,0.76962,0.46154,0.47871,0.46135
3,0.56624,0.76962,0.65142,0.47871,0.52409
4,0.34216,0.73134,0.33104,0.47461,0.32113
5,0.35541,0.73134,0.33907,0.47461,0.31105
6,0.50686,0.73134,0.59728,0.47461,0.48862
7,0.34429,0.79725,0.33832,0.48077,0.34185
8,0.3566,0.79725,0.34952,0.48077,0.36799
9,0.50827,0.79725,0.60978,0.48077,0.48021
10,0.36511,0.59373,0.33701,0.44325,0.34056
11,0.37765,0.59373,0.34186,0.44325,0.36146
12,0.38879,0.59373,0.42196,0.44325,0.33775
13,0.46568,0.76962,0.43746,0.4791,0.4087
14,0.60221,0.76962,0.65871,0.4791,0.62845
15,0.60956,0.76962,0.66227,0.4791,0.52409
16,0.34406,0.73134,0.34784,0.47499,0.34505
17,0.41174,0.73134,0.42421,0.47499,0.38013
18,0.59016,0.73134,0.60399,0.47499,0.48862
19,0.42143,0.79725,0.4173,0.48115,0.43147
20,0.50616,0.79725,0.63088,0.48115,0.65665
21,0.61287,0.79725,0.61689,0.48115,0.48021
22,0.38097,0.59373,0.40496,0.44343,0.42606
23,0.42617,0.59373,0.48917,0.44343,0.48413
24,0.46143,0.59373,0.42477,0.44343,0.33793
25,0.38403,0.73787,0.41301,0.44772,0.4087
26,0.43681,0.73787,0.3553,0.44772,0.36894
27,0.72999,0.73787,0.7166,0.44772,0.65814
28,0.32442,0.62399,0.34503,0.43111,0.34505
29,0.39301,0.62399,0.32618,0.43111,0.33179
30,0.64128,0.62399,0.58384,0.43111,0.50653
31,0.3327,0.77149,0.38798,0.44942,0.43147
32,0.33388,0.77149,0.24011,0.44942,0.24776
33,0.67937,0.77149,0.71921,0.44942,0.67102
34,0.37978,0.53718,0.38274,0.41095,0.42606
35,0.2953,0.53718,0.24329,0.41095,0.24999
36,0.5097,0.53718,0.50673,0.41095,0.49551
37,0.35803,0.15985,0.39433,0.27445,0.37119
38,0.44463,0.15985,0.44531,0.27445,0.46135
39,0.27045,0.15985,0.16467,0.27445,0.22367
40,0.32109,0.15929,0.33104,0.27427,0.32113
41,0.34855,0.15929,0.32973,0.27427,0.31105
42,0.18079,0.15929,0.16524,0.27427,0.22329
43,0.354,0.15817,0.33832,0.2741,0.34185
44,0.34027,0.15817,0.34299,0.2741,0.36799
45,0.14245,0.15817,0.13666,0.2741,0.16021
46,0.34052,0.11448,0.33683,0.25096,0.34056
47,0.36679,0.11448,0.33793,0.25096,0.36146
48,0.10648,0.11448,0.13238,0.25096,0.1518
49,0.39638,0.15985,0.43708,0.27502,0.4087
50,0.52296,0.15985,0.64527,0.27502,0.62845
51,0.25155,0.15985,0.17158,0.27502,0.22367
52,0.32822,0.15929,0.34764,0.27484,0.34505
53,0.37175,0.15929,0.41582,0.27484,0.38013
54,0.21582,0.15929,0.16953,0.27484,0.22329
55,0.34241,0.15817,0.4171,0.27466,0.43147
56,0.43966,0.15817,0.62342,0.27466,0.65665
57,0.14883,0.15817,0.14022,0.27466,0.16021
58,0.35327,0.11448,0.40496,0.25169,0.42606
59,0.36464,0.11448,0.48543,0.25169,0.48413
60,0.10504,0.11448,0.13423,0.25169,0.15161
61,0.32135,0.16806,0.41245,0.25765,0.4087
62,0.34334,0.16806,0.33664,0.25765,0.36894
63,0.15947,0.16806,0.14527,0.25765,0.13199
64,0.30763,0.16713,0.34485,0.25747,0.34505
65,0.33342,0.16713,0.31255,0.25747,0.33179
66,0.13534,0.16713,0.14602,0.25747,0.13162
67,0.33576,0.16806,0.38798,0.25747,0.43147
68,0.25248,0.16806,0.23301,0.25747,0.24776
69,0.09775,0.16806,0.14712,0.25747,0.13162
70,0.29463,0.12737,0.38257,0.23826,0.42606
71,0.22741,0.12737,0.2388,0.23826,0.24999
72,0.07243,0.12737,0.11594,0.23826,0.09409
73,0.31616,0.31931,0.33066,0.329,0.32113
74,0.33605,0.33199,0.34653,0.33011,0.34505
75,0.35046,0.10888,0.33832,0.27187,0.34185
76,0.32988,0.10888,0.34299,0.27187,0.36799
77,0.4049,0.10906,0.4171,0.27933,0.43147
78,0.44371,0.10906,0.62398,0.27933,0.65665
79,0.35142,0.25751,0.33683,0.28865,0.34056
80,0.31429,0.25751,0.34036,0.28865,0.36146
81,0.28468,0.25751,0.26214,0.28865,0.35063
82,0.35259,0.25751,0.40496,0.28865,0.42606
83,0.41817,0.25751,0.48751,0.28865,0.48413
84,0.33154,0.25751,0.26252,0.28865,0.35063
85,0.3701,0.08796,0.4128,0.26382,0.4087
86,0.35496,0.08796,0.3512,0.26382,0.36894
87,0.56605,0.08796,0.41693,0.26382,0.43876
88,0.06414,0.08796,0.03978,0.26382,0.04145
89,0.31521,0.24984,0.34503,0.28492,0.34505
90,0.31593,0.24984,0.323,0.28492,0.33179
91,0.31121,0.24984,0.27334,0.28492,0.25448
92,0.28637,0.24984,0.15889,0.28492,0.22274
93,0.30057,0.28402,0.38274,0.30732,0.42606
94,0.24399,0.28402,0.24235,0.30732,0.24999
95,0.37011,0.28402,0.42869,0.30732,0.49551
96,0.32375,0.14435,0.38726,0.26494,0.35754
97,0.39071,0.14435,0.44399,0.26494,0.39844
98,0.3763,0.14435,0.3189,0.26494,0.44698
99,0.30742,0.13707,0.32468,0.26271,0.30937
100,0.29417,0.13707,0.32543,0.26271,0.26866
101,0.35736,0.13707,0.31087,0.26271,0.41673
102,0.32377,0.14938,0.3314,0.26607,0.32934
103,0.31854,0.14938,0.33029,0.26607,0.31797
104,0.32706,0.14938,0.28734,0.26607,0.40946
105,0.31382,0.1113,0.3301,0.24535,0.32803
106,0.26768,0.1113,0.32486,0.24535,0.31218
107,0.27191,0.1113,0.22853,0.24535,0.28809
108,0.27406,0.14435,0.30359,0.26478,0.26923
