panel,panel_rect,trial,human_P_path2,M3_b5_k0.6_P_path2
panel1,"[106.0, 97.9, 164.6, 143.5]",1,0.2504,
panel1,"[106.0, 97.9, 164.6, 143.5]",2,0.2719,
panel1,"[106.0, 97.9, 164.6, 143.5]",3,0.2069,
panel1,"[106.0, 97.9, 164.6, 143.5]",4,0.2504,
panel2,"[195.2, 97.9, 253.8, 143.5]",1,0.2284,0.3007
panel2,"[195.2, 97.9, 253.8, 143.5]",2,0.3318,0.3064
panel2,"[195.2, 97.9, 253.8, 143.5]",3,0.2555,0.3064
panel2,"[195.2, 97.9, 253.8, 143.5]",4,0.3262,0.3069
panel3,"[106.0, 163.9, 164.7, 209.5]",1,0.2612,0.2623
panel3,"[106.0, 163.9, 164.7, 209.5]",2,0.7558,0.6439
panel3,"[106.0, 163.9, 164.7, 209.5]",3,0.8479,0.9067
panel3,"[106.0, 163.9, 164.7, 209.5]",4,0.9079,0.9327
panel4,"[195.2, 163.9, 253.8, 209.5]",1,0.2012,0.3007
panel4,"[195.2, 163.9, 253.8, 209.5]",2,0.6145,0.4579
panel4,"[195.2, 163.9, 253.8, 209.5]",3,0.81,0.7388
panel4,"[195.2, 163.9, 253.8, 209.5]",4,0.8807,0.8977
panel5,"[106.0, 229.9, 164.6, 275.5]",1,0.0927,
panel5,"[106.0, 229.9, 164.6, 275.5]",2,0.0819,
panel5,"[106.0, 229.9, 164.6, 275.5]",3,0.1091,
panel5,"[106.0, 229.9, 164.6, 275.5]",4,0.0984,
panel6,"[195.2, 229.9, 253.8, 275.5]",1,0.1362,
panel6,"[195.2, 229.9, 253.8, 275.5]",2,0.174,
panel6,"[195.2, 229.9, 253.8, 275.5]",3,0.1526,
panel6,"[195.2, 229.9, 253.8, 275.5]",4,0.169,
panel7,"[106.0, 295.9, 164.7, 341.5]",1,0.2284,0.2804
panel7,"[106.0, 295.9, 164.7, 341.5]",2,0.6795,0.5766
panel7,"[106.0, 295.9, 164.7, 341.5]",3,0.6416,0.6874
panel7,"[106.0, 295.9, 164.7, 341.5]",4,0.7558,0.8106
panel8,"[195.2, 295.9, 253.8, 341.5]",1,0.212,0.3098
panel8,"[195.2, 295.9, 253.8, 341.5]",2,0.6145,0.4285
panel8,"[195.2, 295.9, 253.8, 341.5]",3,0.5381,0.5003
panel8,"[195.2, 295.9, 253.8, 341.5]",4,0.5218,0.6077
